,cycle_days,growth_rate_since_stocking
25859,33.0,2.207
39459,33.0,2.638
23330,33.0,2.395
31850,33.0,2.297
23444,33.0,2.131
37319,33.0,2.435
26201,33.0,2.543
25379,33.0,2.452
25521,33.0,2.105
31848,33.0,2.004
42482,34.0,3.225
37297,34.0,2.802
20096,34.0,1.628
29427,34.0,2.793
19990,34.0,1.748
34934,34.0,2.111
35218,34.0,2.863
32317,34.0,1.915
39902,34.0,2.824
23474,34.0,2.243
43036,34.0,2.001
35230,34.0,2.756
23452,34.0,1.925
41826,34.0,3.799
26492,34.0,2.434
34918,34.0,1.835
37905,34.0,2.504
23184,34.0,1.821
38707,34.0,2.79
38706,34.0,2.396
31410,34.0,1.763
25849,34.0,2.031
32697,34.0,2.229
22986,34.0,2.434
42884,34.0,3.627
21087,34.0,2.735
23187,34.0,1.958
32978,34.0,2.612
30938,34.0,3.023
21992,34.0,2.448
25223,34.0,1.841
37809,34.0,2.41
27067,34.0,2.596
23232,34.0,1.879
37838,34.0,2.219
32654,34.0,2.35
35715,34.0,2.666
31854,34.0,2.108
35698,34.0,2.542
40111,34.0,2.952
39376,34.0,2.729
41339,34.0,2.1
35191,34.0,2.649
27081,34.0,2.307
31819,34.0,1.965
19631,34.0,1.821
31544,34.0,1.761
32699,34.0,2.328
34890,34.0,1.815
32669,34.0,2.359
25841,34.0,1.988
35703,34.0,2.587
31473,34.0,1.884
19932,34.0,1.948
35709,34.0,2.387
40100,34.0,2.75
35549,35.0,2.512
26192,35.0,2.026
42460,35.0,3.076
23582,35.0,2.33
43423,35.0,2.665
44341,35.0,3.14
42376,35.0,2.977
43743,35.0,1.89
23616,35.0,2.181
40445,35.0,2.874
20157,35.0,1.65
42228,35.0,3.812
23626,35.0,2.24
19657,35.0,1.76
43745,35.0,1.938
23824,35.0,2.257
42984,35.0,2.995
43414,35.0,3.667
42578,35.0,3.744
44282,35.0,3.256
35526,35.0,2.396
23243,35.0,2.473
31465,35.0,1.733
36368,35.0,2.942
25563,35.0,2.408
21999,35.0,1.923
21678,35.0,1.611
42678,35.0,2.773
22012,35.0,2.195
44378,35.0,3.441
44040,35.0,2.786
31858,35.0,1.715
19938,35.0,2.239
42684,35.0,3.071
35600,35.0,2.61
28239,35.0,1.794
40423,35.0,2.564
36844,35.0,3.266
23200,35.0,2.431
32309,35.0,2.075
25225,35.0,1.696
43432,35.0,2.815
40477,35.0,3.36
32330,35.0,2.058
28503,35.0,1.586
25549,35.0,1.766
26206,35.0,2.09
22466,35.0,2.75
36366,35.0,3.182
28483,35.0,1.997
38675,35.0,2.12
40476,35.0,3.061
38687,35.0,3.005
22484,35.0,2.675
28449,35.0,2.106
43519,35.0,2.632
32384,35.0,1.984
38979,35.0,3.697
23591,36.0,2.592
37637,36.0,2.69
23581,36.0,2.295
40289,36.0,2.655
23207,36.0,1.979
39665,36.0,2.919
23608,36.0,2.21
26250,36.0,2.255
26247,36.0,2.069
36904,36.0,2.464
26239,36.0,2.51
38398,36.0,2.095
39748,36.0,2.54
25331,36.0,1.881
19614,36.0,1.645
31873,36.0,1.898
25575,36.0,2.387
39711,36.0,2.897
21108,36.0,2.921
28515,36.0,1.26
40590,36.0,2.877
39695,36.0,2.759
21079,36.0,2.618
21845,36.0,1.874
26313,36.0,2.026
27022,36.0,2.424
23609,36.0,2.409
22547,36.0,2.478
37537,36.0,2.57
40691,37.0,2.689
32199,37.0,1.764
32161,37.0,2.082
31838,37.0,2.067
32661,37.0,2.294
40269,37.0,2.749
36069,37.0,2.6
40276,37.0,2.813
38380,37.0,2.752
35186,37.0,2.239
43313,37.0,1.91
43170,37.0,3.456
25660,37.0,1.751
31844,37.0,1.634
25797,37.0,1.945
23610,37.0,2.15
32232,37.0,1.792
23195,37.0,2.403
38390,37.0,2.433
27004,37.0,2.364
36030,37.0,2.786
31857,37.0,1.829
38392,37.0,2.5
25861,37.0,2.376
25884,37.0,1.951
32314,37.0,2.243
40282,37.0,2.683
25309,37.0,1.642
26485,37.0,2.323
38730,37.0,2.665
35165,37.0,1.936
38750,37.0,2.291
35225,37.0,1.898
38784,37.0,2.573
38978,37.0,2.438
37569,37.0,2.982
39028,37.0,3.066
23630,37.0,2.037
42524,37.0,3.019
42711,37.0,3.357
26251,37.0,2.121
20380,37.0,1.66
42159,37.0,3.084
36075,37.0,2.604
39765,37.0,2.87
26236,37.0,2.026
33519,37.0,3.044
22105,37.0,2.39
36002,37.0,2.478
32674,38.0,1.947
32692,38.0,1.969
33165,38.0,2.354
32918,38.0,2.338
19795,38.0,1.926
32321,38.0,1.988
31835,38.0,1.694
31471,38.0,3.002
32700,38.0,1.999
32327,38.0,2.181
33079,38.0,2.043
33105,38.0,1.997
27405,38.0,2.615
25545,38.0,1.628
28578,38.0,1.926
41969,38.0,2.694
43784,38.0,3.824
42667,38.0,3.053
42677,38.0,2.981
35686,38.0,2.815
43814,38.0,2.553
22120,38.0,2.112
39008,38.0,3.043
22118,38.0,2.355
42709,38.0,3.631
39025,38.0,2.177
43817,38.0,3.084
21821,38.0,1.712
20410,38.0,1.807
20190,38.0,1.821
36064,38.0,2.423
29725,38.0,2.485
36900,38.0,3.395
27298,38.0,2.377
23411,38.0,1.952
21325,38.0,2.775
44294,38.0,2.757
36856,38.0,3.041
43199,38.0,3.321
36061,38.0,2.384
20130,38.0,1.837
23405,38.0,2.109
23454,38.0,1.896
35495,38.0,2.848
24050,38.0,2.294
35492,38.0,2.801
36005,38.0,2.587
43079,39.0,2.757
19367,39.0,1.649
44705,39.0,3.462
40604,39.0,2.768
25789,39.0,2.185
19813,39.0,1.717
25802,39.0,1.728
44765,39.0,3.377
26446,39.0,1.993
37103,39.0,3.467
39385,39.0,3.672
44682,39.0,3.236
29054,39.0,2.275
43047,39.0,3.125
26661,39.0,1.939
25531,39.0,1.797
22667,39.0,2.558
23331,39.0,2.54
20133,39.0,2.279
23781,39.0,2.256
23340,39.0,2.365
44202,39.0,2.122
42418,39.0,3.899
29072,39.0,2.108
44199,39.0,2.095
23768,39.0,2.314
22686,39.0,2.533
41979,39.0,2.306
41899,39.0,2.441
32152,39.0,1.849
41111,39.0,2.786
41790,39.0,2.798
40817,39.0,2.53
40807,39.0,3.347
40813,39.0,3.059
29080,39.0,1.798
23760,39.0,2.268
32238,40.0,1.929
27017,40.0,2.388
21376,40.0,3.018
26471,40.0,2.369
26552,40.0,2.216
19391,40.0,1.731
25596,40.0,2.027
26478,40.0,2.169
21372,40.0,2.689
23827,40.0,2.632
42681,40.0,3.269
26420,40.0,2.158
19417,40.0,1.91
26269,40.0,2.014
40614,40.0,2.767
32614,40.0,1.774
32708,40.0,1.792
23742,40.0,2.289
21993,40.0,1.86
26154,40.0,2.05
32666,40.0,1.814
23774,40.0,2.52
41141,40.0,2.788
25845,40.0,2.411
23861,40.0,2.485
32638,40.0,2.122
26268,40.0,2.318
19382,40.0,1.531
23332,40.0,2.149
37084,40.0,2.533
37927,40.0,2.614
38680,40.0,2.378
38954,40.0,2.627
39016,40.0,2.211
39033,40.0,2.712
37880,40.0,2.545
29062,40.0,2.199
40019,40.0,2.863
40026,40.0,3.098
40039,40.0,3.049
27456,40.0,2.117
19834,40.0,1.911
40061,40.0,2.569
21484,41.0,2.793
23401,41.0,2.525
36310,41.0,2.531
23749,41.0,1.83
36313,41.0,2.422
31738,41.0,2.83
33636,41.0,2.425
20424,41.0,1.943
40660,41.0,2.686
40646,41.0,2.984
20475,41.0,1.718
36453,41.0,2.483
36066,41.0,2.562
39403,41.0,2.432
25909,41.0,1.799
32679,41.0,2.026
20317,41.0,1.826
32197,41.0,1.826
22275,41.0,2.305
38746,41.0,2.441
23820,41.0,2.242
36112,41.0,2.762
30246,41.0,2.507
32173,41.0,1.948
33488,41.0,2.508
38561,41.0,2.581
38628,41.0,2.482
35479,41.0,2.034
33184,41.0,2.004
35555,41.0,1.983
33940,41.0,3.056
37903,41.0,2.848
32194,41.0,1.665
41881,41.0,2.128
40580,41.0,2.662
39409,41.0,2.928
42232,41.0,2.669
23603,41.0,2.051
36316,41.0,2.321
36022,41.0,2.775
27463,41.0,2.234
43538,41.0,2.079
43067,41.0,3.548
26444,41.0,2.193
32644,41.0,2.171
27547,41.0,2.242
20003,41.0,2.031
33548,41.0,2.458
23606,41.0,1.845
27770,41.0,2.292
35610,41.0,2.314
23660,41.0,1.938
27809,41.0,2.584
40052,41.0,2.835
43577,41.0,3.438
26441,41.0,2.125
33634,41.0,2.112
19624,42.0,1.745
24213,42.0,2.272
44168,42.0,3.601
33166,42.0,2.067
37071,42.0,3.043
24090,42.0,2.362
19972,42.0,1.72
32229,42.0,1.729
25961,42.0,1.796
36414,42.0,2.562
22864,42.0,2.511
44303,42.0,2.111
44973,42.0,3.111
44968,42.0,3.367
36417,42.0,2.337
23588,42.0,2.397
42233,42.0,2.982
24012,42.0,2.265
43165,42.0,3.262
24020,42.0,2.532
44284,42.0,2.013
42216,42.0,2.404
33077,42.0,1.967
44158,42.0,2.749
39706,42.0,3.568
44154,42.0,3.071
39472,42.0,2.295
43059,42.0,3.169
44792,42.0,2.885
27065,42.0,2.017
37057,42.0,3.275
42959,42.0,3.571
32646,42.0,1.651
22804,42.0,2.462
26178,42.0,1.774
20487,42.0,1.828
28831,42.0,1.725
26164,42.0,2.241
39468,42.0,3.263
23642,42.0,2.497
43587,42.0,3.14
27035,42.0,1.895
45004,42.0,3.246
29290,42.0,2.193
37582,42.0,3.262
22276,42.0,2.18
43287,42.0,2.792
22269,42.0,2.049
42704,42.0,4.021
44125,42.0,2.909
36405,42.0,2.171
42251,42.0,2.491
42881,42.0,2.964
41039,42.0,3.298
29339,42.0,1.702
21976,42.0,1.775
41010,42.0,3.067
32951,42.0,1.998
20369,42.0,2.541
40970,42.0,2.874
41042,42.0,2.464
29282,42.0,1.888
23663,43.0,2.134
20011,43.0,2.079
38356,43.0,2.592
38436,43.0,2.633
29369,43.0,2.075
39081,43.0,2.419
27835,43.0,2.177
19665,43.0,1.576
27080,43.0,2.048
27055,43.0,2.27
27046,43.0,2.074
19636,43.0,1.816
24027,43.0,2.348
40285,43.0,2.348
40318,43.0,2.724
40328,43.0,2.902
26920,43.0,2.418
41378,43.0,2.921
26263,43.0,2.424
32651,43.0,1.98
21552,43.0,2.887
21555,43.0,2.495
25855,43.0,1.678
24091,43.0,2.463
19576,43.0,1.779
37581,43.0,2.386
40334,43.0,3.002
24092,43.0,2.52
41015,43.0,2.771
22123,43.0,1.888
24093,43.0,2.551
34384,44.0,3.074
36839,44.0,2.388
36878,44.0,2.553
36157,44.0,2.037
36163,44.0,2.208
36117,44.0,2.124
36874,44.0,2.449
19354,44.0,1.917
42997,44.0,3.216
27036,44.0,2.089
27327,44.0,2.347
39323,44.0,2.428
32668,44.0,1.712
23666,44.0,2.602
32609,44.0,2.064
22511,44.0,2.325
27709,44.0,2.258
39772,44.0,3.044
33040,44.0,2.006
39745,44.0,2.511
38437,44.0,2.862
43813,44.0,2.109
43807,44.0,3.722
20731,44.0,1.978
39426,44.0,2.871
39410,44.0,2.604
39057,44.0,2.506
39078,44.0,2.351
39097,44.0,2.774
26910,44.0,2.161
32732,44.0,1.812
24042,44.0,1.895
41344,44.0,2.595
41035,44.0,3.004
41025,44.0,2.642
41014,44.0,2.671
33631,44.0,2.406
25850,44.0,2.014
42138,44.0,2.127
26298,44.0,1.916
33075,44.0,1.762
26524,44.0,1.992
26592,44.0,2.186
26503,44.0,2.418
43316,44.0,3.242
40307,44.0,2.924
33185,44.0,1.868
24051,44.0,2.173
33136,44.0,1.837
43281,45.0,2.851
23785,45.0,1.906
43280,45.0,3.175
36866,45.0,2.356
23780,45.0,1.963
43279,45.0,3.607
21644,45.0,2.807
36884,45.0,2.335
22148,45.0,1.724
22513,45.0,1.962
26235,45.0,1.972
28013,45.0,2.452
36910,45.0,2.364
39731,45.0,2.367
39778,45.0,3.183
42429,45.0,2.755
22474,45.0,2.311
28075,45.0,2.286
23735,45.0,2.028
33868,45.0,2.464
24541,45.0,2.219
36395,45.0,2.829
37640,45.0,2.932
33547,45.0,2.252
36401,45.0,2.491
37639,45.0,2.914
32215,45.0,2.863
32618,45.0,1.793
33493,45.0,2.124
33476,45.0,1.889
44329,45.0,2.684
44370,45.0,3.005
44392,45.0,3.331
33206,45.0,1.801
33129,45.0,2.192
34125,45.0,2.332
20119,45.0,1.87
36419,45.0,2.661
45035,45.0,2.903
29328,45.0,1.821
43730,45.0,3.02
20737,45.0,1.749
33948,45.0,2.516
20504,45.0,1.976
34140,45.0,2.273
44279,45.0,2.708
30645,45.0,2.418
20478,45.0,1.814
26301,46.0,1.823
41508,46.0,3.167
33180,46.0,1.883
41490,46.0,2.557
41484,46.0,2.926
26536,46.0,2.087
24281,46.0,2.552
44658,46.0,2.191
26506,46.0,2.062
24232,46.0,2.388
24242,46.0,2.428
44654,46.0,2.027
43377,46.0,3.293
23864,46.0,2.448
29726,46.0,2.017
20482,46.0,2.485
29711,46.0,1.967
39873,46.0,3.55
37823,46.0,3.659
42479,46.0,3.003
42936,46.0,4.09
22928,46.0,2.562
22929,46.0,2.391
42470,46.0,2.436
20106,46.0,1.853
41512,46.0,2.927
27277,46.0,2.06
27230,46.0,2.068
19765,46.0,1.798
29646,46.0,1.817
23796,46.0,2.508
43584,46.0,2.7
42427,46.0,2.676
21706,47.0,2.944
21720,47.0,2.649
24266,47.0,2.655
19438,47.0,1.96
24192,47.0,2.4
22301,47.0,1.885
24211,47.0,2.409
24198,47.0,2.459
19742,47.0,1.869
20153,47.0,1.968
19725,47.0,1.973
43295,47.0,2.836
19760,47.0,1.659
19648,47.0,1.861
23791,47.0,2.01
40695,47.0,2.61
33492,47.0,2.078
37873,47.0,2.552
26943,47.0,2.464
39696,47.0,2.58
27361,47.0,2.173
27389,47.0,2.305
26897,47.0,2.025
33051,47.0,1.837
38639,47.0,2.626
38648,47.0,2.566
39653,47.0,2.64
26525,47.0,2.423
26169,47.0,2.016
39729,47.0,2.591
29647,47.0,2.101
28100,47.0,2.251
40681,47.0,2.805
33564,47.0,2.189
33575,47.0,1.787
40683,47.0,2.46
33577,47.0,1.904
40707,47.0,2.773
27689,47.0,2.398
41283,47.0,2.829
27471,47.0,2.402
27474,47.0,1.987
39433,47.0,2.4
27058,47.0,2.016
41464,48.0,2.723
20735,48.0,1.779
20697,48.0,2.043
34406,48.0,2.307
37075,48.0,2.572
37063,48.0,2.436
20966,48.0,1.807
43404,48.0,3.207
38658,48.0,2.927
34324,48.0,2.53
44140,48.0,3.272
19364,48.0,1.527
36336,48.0,1.951
19411,48.0,1.616
33816,48.0,2.382
33501,48.0,2.103
33498,48.0,2.29
33100,48.0,1.737
20374,48.0,2.004
33053,48.0,1.908
32953,48.0,2.02
37111,48.0,2.538
32759,48.0,2.779
34322,48.0,2.528
37047,48.0,2.354
30918,48.0,2.471
44160,48.0,2.301
36403,48.0,2.184
39378,48.0,2.699
34456,48.0,2.263
41480,48.0,3.018
40128,48.0,2.47
28585,48.0,2.243
40144,48.0,3.026
34907,48.0,3.099
24030,48.0,2.002
24040,48.0,1.948
24046,48.0,2.016
26609,48.0,1.903
27436,48.0,2.231
40589,48.0,2.892
36831,48.0,2.544
36780,48.0,2.604
24223,48.0,2.307
41287,48.0,2.821
24186,48.0,1.972
27441,48.0,2.191
23779,48.0,2.554
28099,48.0,2.27
39407,48.0,2.513
28497,48.0,2.436
39484,48.0,2.436
42520,48.0,2.31
21865,48.0,2.459
42689,48.0,2.838
36375,48.0,2.197
36892,48.0,2.383
22641,48.0,2.455
42688,49.0,2.418
45075,49.0,2.132
45071,49.0,2.059
44029,49.0,3.238
37118,49.0,2.47
43267,49.0,3.826
37160,49.0,2.296
44710,49.0,2.717
44673,49.0,2.928
43548,49.0,3.128
37128,49.0,2.182
43559,49.0,3.575
44632,49.0,2.594
44631,49.0,3.344
37898,49.0,3.006
43607,49.0,2.717
37897,49.0,2.946
38425,49.0,3.183
42707,49.0,2.909
42694,49.0,2.603
40309,49.0,3.694
43737,49.0,2.649
43778,49.0,3.159
40000,49.0,2.417
40024,49.0,3.185
30190,49.0,2.036
24521,49.0,2.256
24460,49.0,2.263
19941,49.0,1.783
30187,49.0,1.764
30211,49.0,1.912
24094,49.0,2.42
20973,49.0,1.962
29593,49.0,1.856
24086,49.0,2.511
23210,49.0,2.334
22239,49.0,1.856
32947,49.0,1.667
22674,49.0,2.243
22608,49.0,2.181
33614,49.0,1.958
33818,49.0,1.963
19416,49.0,1.467
33831,49.0,2.117
20804,49.0,2.559
24587,49.0,2.166
33870,49.0,1.986
24660,49.0,2.018
26930,49.0,1.97
26973,49.0,2.309
26574,49.0,1.984
19389,49.0,1.811
20419,49.0,2.013
27695,49.0,2.013
27708,49.0,1.891
27867,50.0,1.991
27864,50.0,2.105
24087,50.0,2.013
27853,50.0,2.004
38993,50.0,2.57
38349,50.0,2.242
33513,50.0,1.952
20412,50.0,1.843
26669,50.0,1.824
27789,50.0,2.362
19574,50.0,1.948
19940,50.0,1.698
28583,50.0,2.312
24584,50.0,2.476
24561,50.0,2.662
20012,50.0,1.918
24545,50.0,2.525
22523,50.0,1.984
38995,50.0,2.561
41109,50.0,2.945
41102,50.0,2.485
38455,50.0,3.587
41101,50.0,3.017
19965,50.0,1.96
41921,50.0,2.967
41099,50.0,2.662
30185,50.0,1.983
39700,50.0,2.63
24536,50.0,2.241
26898,50.0,2.284
21862,50.0,2.839
21840,50.0,2.685
41962,51.0,2.819
39950,51.0,2.555
33842,51.0,1.776
24083,51.0,2.395
33827,51.0,2.129
41658,51.0,2.638
39756,51.0,2.331
41653,51.0,3.002
33627,51.0,2.127
27821,51.0,2.3
27846,51.0,2.131
33561,51.0,1.859
43528,51.0,3.181
19632,51.0,1.727
27975,51.0,2.321
33526,51.0,2.11
19609,51.0,1.555
39032,51.0,2.67
42680,51.0,2.37
41103,51.0,2.741
37655,51.0,2.469
37648,51.0,2.619
28606,51.0,2.275
22798,51.0,2.479
40472,51.0,3.05
37632,51.0,2.48
39617,51.0,2.898
37620,51.0,2.491
33867,51.0,2.269
39979,51.0,2.864
24563,51.0,2.415
39988,51.0,2.567
26628,51.0,2.079
40261,51.0,2.223
27020,51.0,1.958
24459,51.0,1.966
35236,51.0,2.899
36791,51.0,1.992
27357,51.0,2.03
33875,51.0,1.985
34422,51.0,2.088
44485,51.0,3.154
27475,51.0,1.994
27482,51.0,2.358
19784,51.0,1.794
21076,51.0,1.886
44331,51.0,2.258
36766,51.0,2.36
36783,51.0,1.994
43760,51.0,3.301
39649,51.0,2.598
38441,52.0,2.91
38384,52.0,3.165
30209,52.0,1.844
43776,52.0,3.182
24272,52.0,1.919
19675,52.0,2.098
21084,52.0,1.919
31364,52.0,2.239
25025,52.0,2.132
37615,52.0,2.379
43735,52.0,2.698
22006,52.0,2.494
19603,52.0,1.471
37664,52.0,2.214
24189,52.0,1.984
28957,52.0,2.665
29034,52.0,2.364
44471,52.0,3.076
42892,52.0,3.042
24195,52.0,2.015
34789,52.0,2.034
40427,52.0,2.498
33521,52.0,1.836
22848,52.0,2.367
37553,52.0,2.085
44932,52.0,2.337
34343,52.0,2.135
33825,52.0,2.174
37208,52.0,2.696
37337,52.0,2.673
37182,52.0,2.58
33826,52.0,1.993
44920,52.0,2.941
44936,52.0,3.143
20964,52.0,1.92
22526,52.0,1.903
40439,52.0,3.003
20932,52.0,2.051
20456,52.0,2.011
44985,52.0,2.63
34745,52.0,2.373
22834,52.0,2.057
34752,52.0,2.541
34346,52.0,2.009
34318,52.0,2.022
34784,52.0,2.25
27056,52.0,1.784
24735,53.0,2.333
42991,53.0,2.83
20485,53.0,1.886
41982,53.0,2.475
20967,53.0,2.561
24177,53.0,2.44
33925,53.0,1.979
27430,53.0,1.959
24754,53.0,2.295
27364,53.0,2.036
42905,53.0,2.614
30409,53.0,1.807
20186,53.0,1.972
28222,53.0,1.993
41954,53.0,3.006
41974,53.0,3.181
40838,53.0,3.671
28054,53.0,1.98
43540,53.0,3.58
42938,53.0,2.687
30478,53.0,2.09
42112,53.0,3.063
27071,53.0,1.839
23470,53.0,2.34
24788,53.0,2.361
44107,53.0,3.236
41916,53.0,2.85
24201,53.0,2.494
44211,53.0,2.734
23427,53.0,2.486
30522,53.0,2.013
41887,54.0,2.782
27064,54.0,2.061
27518,54.0,2.311
27573,54.0,2.005
19985,54.0,1.911
22002,54.0,2.562
27680,54.0,2.412
27365,54.0,2.384
28077,54.0,2.161
38720,54.0,2.352
28059,54.0,2.121
28079,54.0,2.361
28056,54.0,2.116
39470,54.0,2.519
20181,54.0,2.095
39357,54.0,2.527
20223,54.0,1.944
40419,54.0,2.991
28993,54.0,2.178
20172,54.0,1.719
40418,54.0,2.571
43792,54.0,3.026
20460,54.0,1.786
41319,54.0,2.749
41374,54.0,2.878
41384,54.0,2.607
24763,54.0,2.54
24720,54.0,2.542
24715,54.0,2.196
24636,54.0,2.394
27808,54.0,2.212
40396,54.0,2.716
39850,54.0,2.923
21939,54.0,2.358
41324,54.0,2.962
28468,54.0,2.518
27747,54.0,2.004
37806,54.0,2.577
22709,54.0,1.972
33865,54.0,1.944
34417,54.0,1.907
34421,54.0,2.029
30463,54.0,2.027
34440,54.0,1.992
42171,54.0,2.767
34378,54.0,2.252
19862,54.0,1.962
24215,54.0,2.174
29376,55.0,2.333
37314,55.0,2.331
28065,55.0,2.17
37543,55.0,2.604
37877,55.0,2.53
41763,55.0,3.076
37282,55.0,2.081
42980,55.0,2.405
24538,55.0,1.948
37262,55.0,2.169
31872,55.0,2.312
44711,55.0,2.48
37920,55.0,2.505
28072,55.0,2.113
40663,55.0,2.36
37644,55.0,2.519
37912,55.0,2.472
24623,55.0,2.298
39475,55.0,2.761
21116,55.0,2.163
43282,55.0,2.864
22987,55.0,2.307
29400,55.0,2.482
24711,55.0,1.871
35594,55.0,2.811
21070,55.0,1.815
34411,55.0,2.279
35196,55.0,2.566
20811,55.0,1.905
24247,55.0,2.537
37827,55.0,2.418
21236,55.0,1.768
22129,55.0,2.673
22063,55.0,2.707
24455,55.0,1.967
44231,55.0,3.259
19847,55.0,1.646
27464,55.0,1.942
34795,55.0,2.221
34383,55.0,2.187
40816,55.0,2.904
41379,55.0,2.888
33882,55.0,2.004
41898,55.0,2.782
28987,55.0,2.27
33866,55.0,1.916
39949,55.0,2.76
24497,55.0,2.094
33930,55.0,2.111
19763,55.0,1.744
41846,55.0,2.606
39863,55.0,2.581
39851,55.0,2.542
42213,56.0,3.177
25027,56.0,2.303
42219,56.0,2.975
25041,56.0,2.474
28516,56.0,1.98
25021,56.0,2.459
20720,56.0,1.823
25385,56.0,2.153
44000,56.0,2.689
44011,56.0,3.031
20378,56.0,1.961
27244,56.0,2.05
34430,56.0,1.943
33881,56.0,1.873
27741,56.0,1.978
27751,56.0,2.294
21228,56.0,2.031
34810,56.0,2.312
43264,56.0,2.614
43278,56.0,2.496
34869,56.0,2.206
22617,56.0,1.952
44760,56.0,3.072
40585,56.0,2.583
22977,56.0,2.097
40706,56.0,2.9
22985,56.0,2.306
28496,56.0,1.962
34864,56.0,1.995
24534,56.0,2.448
30597,56.0,1.848
19761,56.0,2.086
23653,56.0,2.423
42205,56.0,2.533
37860,56.0,2.396
44281,56.0,2.643
19719,56.0,1.55
43314,56.0,2.947
31002,56.0,1.955
31005,56.0,2.165
37829,56.0,2.35
21072,56.0,2.496
23622,56.0,2.437
42132,56.0,2.911
44428,56.0,3.007
24549,56.0,2.544
37807,56.0,2.245
31009,56.0,1.865
22854,57.0,2.004
40386,57.0,2.698
28551,57.0,2.139
28543,57.0,2.273
24987,57.0,2.564
31011,57.0,2.071
39783,57.0,2.605
39770,57.0,2.54
27759,57.0,2.259
24531,57.0,2.247
42546,57.0,3.046
29441,57.0,2.225
42147,57.0,2.773
20794,57.0,1.837
40901,57.0,2.996
25134,57.0,2.518
20366,57.0,2.075
34452,57.0,1.926
20417,57.0,1.679
25014,57.0,2.225
27275,57.0,1.796
20398,57.0,1.929
25024,57.0,2.487
28598,57.0,2.456
39091,57.0,2.353
19931,57.0,1.975
28619,57.0,2.269
25045,57.0,2.575
22108,57.0,2.752
34695,58.0,2.076
44966,58.0,2.446
28011,58.0,2.027
34698,58.0,1.885
44330,58.0,2.861
27965,58.0,2.075
34451,58.0,2.123
40383,58.0,2.908
19951,58.0,1.912
35224,58.0,2.327
38299,58.0,2.337
38295,58.0,2.379
40385,58.0,2.601
44054,58.0,2.949
24525,58.0,2.595
34370,58.0,2.189
38318,58.0,2.6
40389,58.0,2.589
34393,58.0,2.043
19978,58.0,1.574
38329,58.0,2.48
27407,58.0,2.196
34857,58.0,2.185
27819,58.0,1.857
39718,58.0,2.789
42516,58.0,2.774
20204,58.0,1.88
43303,58.0,2.42
28537,58.0,2.194
28041,58.0,2.423
36148,58.0,2.928
42182,58.0,2.737
23201,58.0,2.392
41074,58.0,2.268
32035,58.0,2.334
28532,58.0,2.153
25020,58.0,2.363
37672,58.0,2.395
29003,58.0,2.466
37785,58.0,2.571
41114,58.0,2.836
29435,58.0,2.225
25033,58.0,1.92
40783,58.0,2.596
37617,58.0,1.981
40777,58.0,2.553
37630,58.0,2.043
34922,58.0,2.249
40787,58.0,2.966
42127,58.0,2.807
34386,59.0,1.953
24709,59.0,1.904
25565,59.0,2.169
44359,59.0,2.574
19981,59.0,2.029
37837,59.0,2.631
38333,59.0,2.195
38337,59.0,2.45
34689,59.0,1.919
29594,59.0,2.389
37930,59.0,2.732
38361,59.0,2.328
35201,59.0,2.215
41146,59.0,3.132
22809,59.0,2.042
41148,59.0,2.383
35169,59.0,2.165
22337,59.0,2.749
29736,59.0,2.462
23193,59.0,2.188
24698,59.0,1.752
27787,59.0,2.073
23199,59.0,2.066
34750,59.0,2.24
24703,59.0,1.927
19984,59.0,1.633
35176,59.0,2.111
30925,59.0,1.872
21365,59.0,2.127
44345,59.0,2.981
43426,59.0,2.823
21533,59.0,1.97
20875,59.0,1.797
21231,59.0,1.89
19415,59.0,1.627
32418,59.0,2.217
42473,60.0,2.56
42656,60.0,2.921
24797,60.0,2.507
23740,60.0,2.426
43555,60.0,2.883
24772,60.0,2.557
42363,60.0,2.937
43431,60.0,2.715
43394,60.0,2.517
20996,60.0,1.786
25247,60.0,2.305
25257,60.0,2.297
25274,60.0,2.202
42561,60.0,2.977
23718,60.0,2.325
21237,60.0,2.606
20499,60.0,1.877
31302,60.0,2.046
34949,60.0,2.037
29090,60.0,2.057
31234,60.0,1.973
31267,60.0,1.903
44600,60.0,2.648
27797,60.0,1.791
28878,60.0,2.091
28233,60.0,2.024
28159,60.0,2.271
40745,61.0,2.748
42399,61.0,2.858
44355,61.0,2.612
22976,61.0,2.032
41939,61.0,2.48
41857,61.0,2.585
20537,61.0,2.179
25241,61.0,2.553
28559,61.0,2.445
41941,61.0,2.482
41940,61.0,2.966
34809,61.0,1.923
40989,61.0,2.6
40988,61.0,2.905
39415,61.0,2.247
28520,61.0,2.033
25369,61.0,2.43
31329,61.0,1.36
28436,61.0,2.164
41012,61.0,2.523
22297,61.0,2.579
28774,61.0,2.093
20523,61.0,1.783
20376,61.0,1.952
19407,61.0,2.395
29309,61.0,2.502
29041,61.0,2.2
40077,61.0,2.53
40021,61.0,2.728
24809,61.0,2.124
27778,61.0,2.204
28815,61.0,2.43
35269,61.0,1.84
20597,61.0,2.075
42716,61.0,2.576
20117,61.0,2.062
28038,61.0,2.33
25383,61.0,2.126
35193,61.0,2.26
28835,61.0,2.044
35161,61.0,2.029
29708,61.0,2.408
35181,61.0,2.008
20978,61.0,1.821
38765,62.0,2.441
24979,62.0,2.017
28794,62.0,2.221
29743,62.0,2.111
25382,62.0,2.398
28765,62.0,2.301
41330,62.0,2.46
25046,62.0,2.107
30269,62.0,2.254
